16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 132] Connected!
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE ALTITTUDE: 1
16:32:42: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE ALTITTUDE: -1
16:32:45: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
16:32:46: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 90.0
16:32:46: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 116.56505117707799
16:32:47: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 45.0
16:32:47: [INFO] [/Users/everest/warg_autonomy_onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
